identifiant	nom	appellation	datation/0	commune	departement	insee	code_departement	localisation/lon	localisation/lat	appartient_a	materiau_du_gros_oeuvre	auteur	historique_du_batiment_ou_de_l_oeuvre	description_du_batiment	type_de_protection	chercheur/0	copyright	chercheur/1	chercheur/2	chercheur/3
IA44004508	Pont-route en béton pré-contraint	pont	4e quart 20e siècle	La Chapelle-sur-Erdre	Loire-Atlantique	44035	44	-1.5407213438539418	47.27517856398161				Le pont-route est construit en 1991 pour permettre le franchissement de l'autoroute A11 (point kilométrique : 436.920).	Ce pont-route est un ouvrage d'art à trois travées. Le tablier d'une longueur de 45 m est de type hourdis en béton armé sur poutres préfabriquées en béton précontraint. Il repose sur 2 piles sur talus et 2 piles intermédiaires. La jonction entre les piles et les poutres s'effectue avec des appareils d'appui appelés bossages situés au-dessus du chevêtre (les bossages permettent le positionnement de vérins soulevant le tablier). La corniche métallique est en aluminium et le garde-corps en acier. La hauteur libre est de 5,10 m.		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004509	Pont-route en maçonnerie	pont	4e quart 19e siècle	Nort-sur-Erdre	Loire-Atlantique	44110	44	-1.5034279630889849	47.448482708189175			Geoffroy	Le pont-route est construit entre 1875 et 1877 lors de la création de la voie ferrée sous la direction de l'ingénieur Geoffroy de la Compagnie d'Orléans. Il permet le franchissement de la voie communale n° 106 La Houssais (point kilométrique 461.096).	Ce pont-route est un pont à voûte en berceau d'une portée de 25,60 m (taille standard) et d'une hauteur de 4,80 m. La voûte est en béton coffré (reprise sur la maçonnerie d'origine). La structure s'appuie sur deux culées perdues en empierrement et en maçonnerie fourrée de moellons et revêtue par deux types d'appareil : parement régulier bosselé (chaînage d'angle) et appareil irrégulier à tête dressée (murs de soutènement). Le parapet semble aussi en parement de pierre légèrement bosselé sur 4 rangées.		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004510	Pont-route en fonte	pont	4e quart 19e siècle	Nort-sur-Erdre	Loire-Atlantique	44110	44	-1.5035786608086241	47.46167405520282			Geoffroy Roussel	Le pont-route est construit entre 1875 et 1877 lors de la création de la voie ferrée sous la direction de l'ingénieur Geoffroy de la Compagnie d'Orléans. Il permet le franchissement du chemin vicinal ordinaire n° 10 (Nort-sur-Erdre - la Haie de Nort ; point kilométrique : 458.697). Ce pont serait attribué à l'entreprise Roussel.	Ce pont-route est un pont à arc en fonte. La structure s'appuie sur deux culées perdues en empierrement, et en maçonnerie fourrée de moellons et revêtue par deux types d'appareil : parement régulier bosselé (chaînage d'angle et parapet) et appareil irrégulier à tête dressée (murs de soutènement). Le garde-corps en fonte se compose d'une travée unique formée de motifs ovales barlongs juxtaposés, et s'achève à chaque extrémité par un potelet en fonte. La portée du pont est de 16 m et la hauteur de 4,96 m.		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004511	Pont-route en béton armé	pont	4e quart 19e siècle	Issé	Loire-Atlantique	44075	44	-1.4493273780451534	47.62783989690002			Geoffroy	Le pont-route est construit entre 1875 et 1877 lors de la création de la voie ferrée sous la direction de l'ingénieur Geoffroy de la Compagnie d'Orléans. Il permet le franchissement de la route départementale 35 (ancien chemin vicinal de petite communication n° 3 Issé - Louisfert ; point kilométrique : 479.661). Le pont a été détruit par les bombardements de 1944. Les soldats américains construisent un pont en bois provisoire avant une reconstruction en béton en 1946. Les gardes-corps furent repris en 1976.	Ce pont-route est un pont en arc couvert d'une voûte en berceau à l'origine en fonte et reconstruit en 1946 en béton. La structure s'appuie sur deux culées perdues en empierrement, et en maçonnerie fourrée de moellons et revêtue par un parement régulier en schiste pour le mur de soutènement et les retours et en pierre bosselée pour le chaînage d'angle. Le garde-corps est en béton, composé de travées formées de sept motifs rectangulaires juxtaposés. La portée du pont est de 16,40 m (taille standard) et la hauteur de 4,62 m.		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44004512	Les ponts sur la ligne ferroviaire Nantes-Châteaubriant	pont	4e quart 19e siècle		Loire-Atlantique		44	-1.46152920984189	47.467830637448316	Pont-route en béton armé			Longue de 62 kilomètres, la ligne Nantes-Châteaubriant compte 63 ouvrages d'art (OA) de type ponts et 74 petits ouvrages d'art de type aqueducs ou buses. L'étude porte sur la première catégorie d'OA. 56 des OA sont construits lors de la création de la ligne en 1877 selon les plans-type de la Compagnie d'Orléans. Les ponts métalliques sont attribués à l'entreprise Roussel.Plusieurs ponts furent endommagés pendant les bombardements de 1944 et reconstruits soit à l'identique (pont sur l'Hocmard), soit dans le style de l'époque (pont de la Jonelière de l'ingénieur Albert Caquot). 7 ponts sont construits dans la seconde moitié du XXe siècle lors de la création de routes (rocade nord de Nantes en 1976, RD69 en 1989, autoroute A11 en 1991) ou de réaménagements urbains (lotissement du coteau de Saint-Michel à Sucé-sur-Erdre en 1996).	Les ouvrages d'art sont destinés soit au franchissement d'obstacles par la voie ferrée (ponts-rails), soit au maintien des circulations entravées par la ligne (ponts-routes), soit à l'écoulement des eaux (aqueducs ou buses). La typologie de la SCNF basée sur les dimensions des OA a été adoptée : tout passage inférieur de moins de 2 m d'ouverture est considéré comme une buse ou un aqueduc et comme un pont s'il dépasse cette dimension.1. Les ponts-railsLes ponts-rails au nombre de 46 dont 39 sont construits en 1877 et 5 par la suite.La taille de l'obstacle à franchir conditionne les matériaux de construction : pour les petites dimensions, les ouvrages en maçonnerie sont privilégiés, mais au-delà de 3 à 4 m, les structures métalliques sont utilisées. En fonction des matériaux de construction, 4 catégories de ponts-rails se dessinent :- pierre [13] : ponts-rails maçonnés : construits en moellons et pierre de taille avec une voûte en plein cintre [11] ou une voûte en berceau [2], la portée est en moyenne de 2 à 4 m,- béton/métal [28] :  ponts-rails à poutres jumelles [20] : la portée est en moyenne de 3,50 à 7,70 m ; entre 1963 et 1966, l'ensemble des tabliers est remplacé (tablier de 55 cm d'épaisseur avec des poutres de 45 cm), les gardes-corps datent de cette époque, ponts-rails à poutrelles enrobées [8] : le tablier est composé de poutrelles métalliques (type IPN) enrobées dans une dalle en béton armé, la portée est en moyenne de 4,80 à 25,50 m, le remplacement des tabliers métalliques par les poutrelles enrobées date de la fin des années 1960 ou du début des années 1970.- métal [2] : ponts-rails à poutres latérales hautes : pont sur le canal de Nantes à Brest (1877) et pont franchissant la rocade nord de Nantes (1976),- béton armé [3] : pont en arc en BA pour la Jonelière (1946), poutres sous dalles en 1975 à Châteaubriant, pont-portique en 1996 à Sucé-sur-Erdre.2. Les ponts-routeLes ponts-routes sont au nombre de 17. 14 sont construits en 1877 et 3 par la suite (1979, 1991 et 1997). 3 ponts construits en 1877 ont subi des modifications : deux ont été reconstruits selon le même modèle (voûte en berceau), mais en béton et un a été élargi et reconstruit avec des poutrelles enrobées.En fonction des matériaux de construction, on distingue 3 catégories de ponts-routes :- en pierre [10] : ponts-routes maçonnés : construits en moellons et pierre de taille, de type à culées perdues, avec une voûte en berceau et un parapet en pierre, la portée est en moyenne de 25 m,- en métal [2] : ponts-routes en fonte : construits en fonte avec une voûte en berceau et un parapet en fonte, la portée est en moyenne de 16 m,- en béton [5] : pont-portique en béton armé (1979), pont en béton précontraint (années 1990).		Gaëlle Caudal	(c) Région Pays de la Loire - Inventaire général			
IA44005213	Pont de Cheviré	viaduc	4e quart 20e siècle	Nantes	Loire-Atlantique	44109	44	-1.6140250617739735	47.19109970011253	Prairie industrielle du Bas-Chantenay		Service d'Etudes Techniques des Routes et Autoroutes, Division des grands ouvrages;Philippe Fraleu;Pierre Loyer	"Le pont de Cheviré a été mis en service en mai 1991, après 33 mois de travaux.Depuis 1948, le plan d'aménagement et de reconstruction établi par Michel Roux-Spitz envisage le franchissement de la Loire en aval de Nantes, au droit de l'île Cheviré. L'île Cheviré ainsi que l'île Botty et l'île-aux-Moutons, deux îles plus petites de la commune de Bouguenais, ont été, depuis la fin du XIXe siècle, progressivement raccordées à la rive gauche du fleuve. À la fin des années 1950, le rapport du plan directeur du groupement d'urbanisme de Nantes prévoit ""une traversée aval essentielle pour une ville d'estuaire"". Avant 1991, les liaisons nord-sud se font, en amont du pont, à Nantes, par des ponts urbains, en aval, par les bacs de Loire (Indre, La Montagne) et le pont de Saint-Nazaire, mis en service en 1975. Des solutions de pont basculant, pont tournant et pont levant, mais aussi de tunnel, ont été envisagées à la fin des années 1970. À la question du franchissement de la Loire (transits nord-sud urbain, périurbain, national et européen), dans la logique du périphérique nantais commencé dans les années 1970, en aval du port de Nantes, ainsi qu'à celle de la garantie de l'accès de gros navires au port de Nantes, répond la solution d'un pont construit sur une zone plate, mais ayant une hauteur sous tablier importante. La maîtrise d'œuvre du pont est assurée par la Direction Départementale de l'Équipement de Loire-Atlantique. Son financement est assuré par l'État et par le Syndicat Intercommunal à Vocation Multiple de l'Agglomération Nantaise. Les très nombreuses contraintes présentes sur le site (franchissement de nombreuses voies urbaines, de la voie ferrée, de la Loire navigable, du parc à bois de Cheviré, proximité de l'aéroport de Nantes-Atlantique, différence des terrains géologiques des rives nord et sud, structure des quais de Roche-Maurice) ont conduit à déterminer la forme et les modes de portée et de construction du pont. Le montant des travaux a été de 275 millions de francs TTC avec des prévisions de trafic de 40 000 véhicules par jour. En 2012, le trafic est estimé à 110 000 véhicules par jour.Travaux :La partie la plus spectaculaire du chantier a consisté dans le transport depuis Saint-Nazaire, du tablier métallique et surtout à son hissage. Constitué de 77 panneaux réalisés à Châteauneuf-sur-Loire, transportés par voie routière et assemblés par les Ateliers de Construction de Paimbœuf à Saint-Nazaire, il a été déplacé sur une barge construite à cette occasion jusqu'à Cheviré. Le tablier, de 2 200 tonnes, a été hissé en 27 heures. Il a été positionné par des systèmes de levage prenant appui sur les consoles en béton précontraints des deux piles principales terminées d'abouts métalliques en attente. Une fois le tablier positionné et assemblé aux abouts, l'ensemble a été redescendu sur les appuis définitifs. Le chantier représente un travail de 1 million d'heures pour 200 hommes simultanément sur site."	Le pont de Cheviré, d'une longueur totale de 1365 mètres, comporte une travée centrale de 242 mètres et assure un gabarit de navigation maritime de 52 mètres au-dessus des plus hautes eaux. Il s'agit d'un ouvrage de type pont à pourtes-caisson construit selon la méthode de l'encorbellement, constitué de deux viaducs d'accès en béton précontraint. Le pont comprend 22 piles : 2 piles principales qui encadrent la travée centrale et qui sont implantées au nord sur le quai de la Roche-Maurice, au sud sur l'île Cheviré et 21 piles courantes. La chaussée, supportant deux fois trois voies de circulation, est large de 24,60 mètres avec une pente de 2,5%.		Hélène Charron	(c) Région Pays de la Loire - Inventaire général;(c) Ville de Nantes	Gaëlle Caudal	Olivier Absalon	
IA44007204	Pont de Bellevue	pont	3e quart 20e siècle	Sainte-Luce-sur-Loire	Loire-Atlantique	44172	44	-1.4732448737423807	47.23242206249826				Jusqu’au milieu des années 1960, la Loire n’est franchissable en amont de Nantes qu’à partir des ponts de Thouaré, et seulement pour les véhicules d’un tonnage inférieure à 8 tonnes. Situés à 16 km en amont de Nantes, les ponts de Mauves permettent le franchissement des véhicules plus lourds (jusqu’à 20 tonnes), mais le passage demeure soumis à autorisation administrative et nécessite l’interruption totale du trafic sur ces ouvrages. Les véhicules les plus lourds sont donc contraints de franchir la Loire sur les ponts de Nantes, générant un trafic routier important et un encombrement considérable de la circulation dans le centre-ville. Aussi en 1966, le service des Ponts et Chaussées estime que la récente inauguration de la seconde ligne de ponts à Nantes ne peut qu’améliorer partiellement la situation en délestant une partie du trafic des ponts existants. La solution envisagée consiste alors à construire un nouvel ouvrage de franchissement près du village de Bellevue, afin qu’il reçoive le trafic supplémentaire non susceptible d’être transité par les ouvrages de Thouaré-sur-Loire et Mauves-sur-Loire.Le pont de Bellevue est construit entre 1968 et 1970, avec pour objectif d’améliorer les conditions de franchissement de la Loire à l’amont de Nantes. Son inauguration officielle a lieu le 4 avril 1971. Déjà envisagé dans le projet des années 1960, le doublement du pont de Bellevue en 2x2 voies a lieu entre 1988 et 1990. L'ouvrage forme désormais un maillon essentiel du périphérique nantais.	Le pont de Bellevue est un pont en poutre-caisson construit selon la technique des voussoirs en béton précontraint. Avec 370 mètres de longueur, il comporte six travées avec des portées de 74 mètres. D’une longueur de 370 mètres, le tablier repose sur cinq piles et a été construit par encorbellement successif.Il est mis en connexion au nord avec l’échangeur de la Porte d’Anjou et au sud avec la Porte du Vignoble.		Julien Huon	(c) Région Pays de la Loire - Inventaire général			
IA44007206	Ponts de Mauves	pont	4e quart 19e siècle	Mauves-sur-Loire	Loire-Atlantique	44094	44	-1.379520736558215	47.29132694080682			Théodore-Marie Lorieux	A la fin des années 1850, le Conseil général de la Loire-Inférieure émet le vœu d'établir un pont sur la Loire en amont de Nantes et permettant de relier les deux rives opposées du fleuve. A la suite d'une étude lancée en 1973, le Conseil général opte en 1876 pour la solution de construire deux ponts au lieu d'un seul prévu initialement sur les communes de Thouaré-sur-Loire et Mauves-sur-Loire. Le choix de la commune de Mauves-sur-Loire s'appuie sur la position centrale de la localité entre Ancenis et Nantes, dont l'activité commerciale et le transit des marchandises étaient déjà importants. Le port de Mauves est en effet un passage d'eau important en usage depuis le Moyen Age. Au début de l'année 1877, Théodore-Marie Lorieux, ingénieur des Ponts et Chaussées, présente les projets définitifs des maçonneries et des abords des ponts de Mauves, qui avaient été demandés par le Conseil général dans sa session d'avril 1876 à la suite du choix des communes. Le 31 octobre 1877 a lieu, à la Préfecture de Nantes, l'adjudication des travaux de fondations et de maçonnerie des ponts de Thouaré et de Mauves. Les travées métalliques et les planchers font l'objet de projets dressés à part, et pour l'exécution desquels des soumissions sont également demandées à des usines de construction métallique.Comme pour les ponts de Thouaré, la construction des ponts de Mauves s'achève en 1882. Ils sont remis au Service vicinal en décembre 1883.En juin 1944, les bombardements alliés endommagèrent les travées 1, 2 et 3 du Grand Pont de Mauves et, en août 1944, les troupes allemandes en retraite détruisirent les travées 4 et 5. Le Service ordinaire des Ponts et Chaussées fit exécuter les travaux de reconstruction et remise en état des travées détruites. Les ponts de Mauves furent rendus à la circulation le 1er janvier 1948.	Le pont routier dit de Mauves enjambe la Loire entre les communes de Mauves-sur-Loire en rive nord et La Chapelle-Basse-Mer en rive sud. Il forme une ligne de ponts composée de deux ouvrages métalliques à poutres en treillis et tablier inférieur, reliés par une levée de terre traversant une ancienne île de Loire. Au nord, le Grand Pont permet le franchissement du bras principal du fleuve. Il s'étire sur 482 mètres et comporte 11 travées. Plus au sud, le pont de la Pinsonnière enjambe un bras mort de la Loire. Il compte deux travées et mesure 92 mètres de long.		Julien Huon	(c) Région Pays de la Loire - Inventaire général			
IA44007254	Ponts de Thouaré	pont	4e quart 19e siècle	Thouaré-sur-Loire	Loire-Atlantique	44204	44	-1.4309860796228544	47.259877432748155	Ponts de Mauves			Les plans du projet définitif des Ponts de Thouaré sont approuvés par délibération du Conseil général de Loire-Inférieure en date du 12 avril 1877. Les travaux démarrent en 1879 et s'achèvent en 1882.Ce projet de pont routier répond à la nécessité de faciliter les communications entre les deux rives, jusque-là assurées par un service de bac. Il témoigne aussi de l’importance prise par le transport terrestre sur le trafic fluvial à partir du dernier quart du XIXe siècle. Ce projet de pont routier répond à la nécessité de faciliter les communications entre les deux rives, jusque-là assurées par un service de bac. Il témoigne aussi de l’importance prise par le transport terrestre sur le trafic fluvial à partir du dernier quart du XIXe siècle. Des cales furent néanmoins établies dès la construction des deux ponts au pied des quatre culées pour les besoins de la navigation. Le 24 juin 1924, le Directeur des voies navigables et des ports maritimes autorise le projet de consolidation du pont par l’implantation, autour de chacune des piles, d’une enceinte de palplanches métalliques de type Lackawanna pour la somme de 600 000 francs. Ces travaux, analogues à ceux réalisés aux Ponts-de-Cé furent exécutés par voie de marché de gré à gré passé avec M. de Vaux, entrepreneur. Durant la Seconde Guerre mondiale, les ponts de Thouaré furent détruits partiellement à trois reprises et reconstruits à l’identique après le conflit. Jusqu’à la construction du pont de Bellevue à la fin des années 1960, ces deux ponts formaient le premier passage routier sur la Loire en amont de la ligne de ponts de Nantes. En rive sud, le tablier du Pont du Haut-Village est restauré entre 2005 et 2006. En 2017, une seconde phase de restauration a permis de renforcer les poutres métalliques situées sous la chaussée du Grand Pont sur la rive nord. Les voûtes en briques du tablier original ont été remplacées par une dalle en béton plus légère.	Les ponts de Thouaré se composent de deux ponts routiers consécutifs établis sur deux bras de Loire séparés par l’île de la Chesnaie. Supportant la route départementale n°37, ils mettent en relation les communes de Thouaré-sur-Loire (rive droite) et de Saint-Julien-de-Concelles (rive gauche). Il s’agit de deux ponts métalliques en poutres à treillis et tablier inférieur. Le pont nord est appelé « Grand Pont de Thouaré » et le sud « Pont du Haut-Village ». Ils ont une longueur respective de 392 m et 212 m.A l’exception des travées de rive dont la portée est de 39 m, les dix travées intermédiaires mesurent 45 m de long et repose sur douze piles maçonnées.		Julien Huon	(c) Région Pays de la Loire - Inventaire général			
IA44008863	Pont de la Chalandière dit aussi de l'Arche	pont	Moyen Age	Thouaré-sur-Loire	Loire-Atlantique	44204	44	-1.4277387464781062	47.2673134341334				L'arche en pierre enjambant le ruisseau de la Chalandière pourrait dater du Moyen Âge. Le système de vanne attenant date de 1817.	Le pont est situé le long du chemin de halage de la Sauterelle, à environ 800 mètres en amont des ponts de Thouaré sur la rive droite du fleuve. Il se compose d'une arche en plein cintre en moellons de schiste enjambant le ruisseau de la Chalandière. La vanne accolée au sud de l'arche est également réalisée en moellons de schiste. Deux glissières en pierre de taille de grès permettaient à l'origine de maintenir des planches en bois afin d'éviter la pénétration des eaux dans la prairie de Mauves lors des crues de la Loire.		Julien Huon	(c) Région Pays de la Loire - Inventaire général			
IA49000842	Grand pont, puis pont du Centre, puis pont de Verdun	pont	Haut Moyen Age	Angers	Maine-et-Loire	49007	49	-0.5583876125347393	47.47322828324562			Jules Dupuit	La première mention remonte à un texte de Grégoire de Tours de 590. Ce pont devait être entièrement en bois car vers 1028-1039 le comte Foulque Nerra fait reconstruire les piles en pierre, le tablier restant en bois : dès cette époque le Grand pont est bordé de maisons et de moulins ainsi que de pêcheries. En 1144 le pont est détruit par un incendie : il est reconstruit et couvert de maisons dotées de boutiques. Un nouvel incendie intervient en 1206 avec la prise de la ville par Jean sans Terre. Aux XIVe et XVe siècles de nombreuses réparations sont attestées, le tablier étant plus particulièrement concerné. La plupart des maisons semblent, à l'instar des rues commerçantes de la ville, reconstruites au XVIe siècle. Le pont et ses maisons sont souvent victimes des inondations : la crue la plus grave, en 1651, emporte trois arches et 32 maisons : des réparations sommaires sont effectuées, mais en 1691 la ville interdit désormais de bâtir sur le pont. La rénovation principale intervient entre 1690 et 1710, essentiellement sous la conduite de l'ingénieur du roi Nicolas Poictevin. Du Moyen Age au XVIIIe siècle, le pont diminue de longueur, en raison de la création de quais englobant petit à petit des arches, particulièrement côté rive gauche. En 1744 le monument en forme d'obélisque qui ornait le pont des Treilles est installé à l'emplacement des maisons disparues. Entre 1799 et 1811 les maisons qui subsistaient sont détruites, sauf une qui demeure jusqu'en 1837. Le pont fait l'objet d'une reconstruction complète entre 1846 et 1848 par l'ingénieur en chef des Ponts et Chaussées Jules Dupuit qui réutilise dans la mesure du possible les anciennes fondations : le pont prend alors le nom de pont du Centre. Il prend son appellation actuelle en 1916 en commémoration de la victoire de Verdun. Les deux premières arches depuis la rive droite sont détruites lors de la libération d'Angers en 1944 : la remise en état, à l'identique mais avec des voûtes en béton, est achevée en 1946. Des travaux de consolidation dus aux nombreux tassements sont intervenus depuis, les plus importants étant ceux de 1990-1992.	Pont du haut Moyen Age en bois. Pont médiéval : piles en grès puis en moellon de schiste et tablier en bois porté par des arches en charpente. De la fin du Moyen Age au XVIIe siècle : piles en schiste et tablier en bois porté par des arches en charpente ou maçonnées. XVIIIe siècle : structure entièrement maçonnée en schiste. Reconstruction de 1846 : becs en grès et arches en schiste. Réparations de 1945 : élévations en schiste à l'identique et voûtes en béton.		Dominique Letellier-d'Espinose	(c) Région Pays de la Loire - Inventaire général;(c) Ville d'Angers	Olivier Biguet		
IA49010199	Pont, R.D. 89	pont	2e quart 19e siècle	Châteauneuf-sur-Sarthe	Maine-et-Loire	49080	49	-0.48685729417623086	47.67844490129848	Châteauneuf-sur-Sarthe : présentation de la commune		Chevalier	"L'existence d'un pont à Châteauneuf permettant le franchissement de la Sarthe semble attestée dès le deuxième quart du XIIe siècle, lors de l'implantation du castrum et de la fondation du bourg. Pendant la guerre de Cent Ans, il est abattu en partie pour prévenir des incursions anglaises. Les comptes de la seigneurie y mentionnent de nombreuses réparations à la fin du XVe siècle et au début du XVIe siècle, mais dès avant la deuxième moitié du XVIIIe siècle le pont est considéré comme ruiné et remplacé par un bac. Le 15 novembre 1766, Bastien, ingénieur des Ponts et Chaussées de la généralité de Tours évoque l'ancien ""pont de pierre dont on voit encore les vestiges et dont la ruisne a occasionnée l'établissement d'un bac"". Un batelier y assure le passage et perçoit un droit variable selon la nature du transport. Le pont actuel est reconstruit en amont du pont médiéval. Le projet des travaux est rédigé le 9 mai 1829 et approuvé le 17 mai 1830. Les plans de l'ouvrage s'inspirent d'un premier projet dressé en 1814 par l'ingénieur Chevalier. L'adjudication des travaux est confiée en 1932 à l'entrepreneur Adolphe Thierry, remplacé en 1834 pour incompétence par l'entrepreneur Jacques Sellé. Entre temps, le projet est légèrement modifié : le pont est construit quelques mètres en amont, ""pour faire face à la superbe avenue de peupliers qui longe la route"" et ""où il serait dans les vues du Conseil municipal d'ouvrir une nouvelle rue qui viendrait aboutir au centre de Châteauneuf ; ce qui serait à la fois d'une grande beauté et d'un immense avantage pour la ville qui, par là acquerrait un grand développement"". Le pont est inauguré le 16 novembre 1839. À la suite sont engagés les travaux de la grande percée de la rue Nationale. Endommagé pendant la Seconde Guerre mondiale, le pont est de nouveau restauré après guerre avant d'être élargi en 1990."	Pont constitué de quatre piles et de cinq travées. À l'origine en moellons de grès, il fut réenglobé dans une structure de béton. Les dimensions données par Chevalier en 1814 faisaient état d'une longueur de 63 m de longueur entre les culées et de 7 m de largeur pour le tablier ; chacune des piles mesurant 3 m d'épaisseur et les travées 10,20 m d'ouverture.		Camille Deslandes	(c) Région Pays de la Loire - Inventaire général;(c) Conseil départemental de Maine-et-Loire - Conservation départementale du patrimoine	Ronan Durandière		
